"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Michigan Barber School Inc","8988-90 Grand River Avenue, Detroit, Michigan 48204-2244","michiganbarberschool.org","2-year, Private not-for-profit","Two but less than 4 years certificate","City: Large","No","185","185","11%","NA","Fall 2015","$7,392","Barbering/Barber","171012","02361500"
"Michigan Career and Technical Institute","11611 West Pine Lake Road, Plainwell, Michigan 49080-9254","www.michigan.gov/MCTI","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Rural: Distant","Yes","218","218","76%","NA","2015-16","$8,213","-","172422","02618400"
"Michigan College of Beauty-Monroe","1020 S. Monroe St., Monroe, Michigan 48161","MichiganCollegeBeauty.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Small","No","117","117","73%","2%","2015-16","$11,744","Cosmetology/Cosmetologist, General","170611","02324500"
"Michigan College of Beauty-Troy","3498 Rochester Rd, Troy, Michigan 48083","michigancollegeofbeautytroy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","309","309","80%","NA","2015-16","$15,150","Cosmetology/Cosmetologist, General","381370","02125600"
"Michigan School of Psychology","26811 Orchard Lake Rd., Farmington Hills, Michigan 48334-4512","www.msp.edu","4-year, Private not-for-profit","Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","No","181","","NA","NA","Fall 2012","NA","-","169220","02198900"
"Michigan State University","East Lansing, Michigan 48824-1046","https://www.msu.edu","4-year, Public","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","50351","39423","80%","12%","Fall 2012","$16,227","-","171100","00229000"
"Michigan State University-College of Law","648 N. Shaw Lane, Room 368, East Lansing, Michigan 48824-1300","www.law.msu.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Small","No","777","","NA","NA","Fall 2012","NA","-","169628","00225400"
"Michigan Technological University","1400 Townsend Drive, Houghton, Michigan 49931-1295","www.mtu.edu","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Town: Remote","Yes","7172","5797","68%","21%","Fall 2012","$17,175","-","171128","00229200"
"Mid Michigan College","1375 S Clare Ave, Harrison, Michigan 48625-9447","www.midmich.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","3802","3802","14%","24%","Fall 2015","$6,431","-","171155","00676800"
"Monroe County Community College","1555 South Raisinville Road, Monroe, Michigan 48161-9746","www.monroeccc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","2920","2920","20%","22%","Fall 2015","$4,468","-","171225","00229400"
"Montcalm Community College","2800 College Dr., Sidney, Michigan 48885-9723","www.montcalm.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Distant","No","1667","1667","31%","16%","Fall 2015","$6,712","-","171234","00229500"
"Moody Theological Seminary and Graduate School--Michigan","41550 East Ann Arbor Trail, Plymouth, Michigan 48170-4308","https://www.moody.edu/moody-theological-seminary-michigan/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","Suburb: Large","","","","NA","NA","Fall 2012","NA","-","14736901","00172725"
"Mott Community College","1401 E Court St, Flint, Michigan 48503-2089","https://www.mcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","7715","7715","16%","26%","Fall 2015","$5,291","-","169275","00226100"
"Muskegon Community College","221 S Quarterline Rd, Muskegon, Michigan 49442-1432","www.muskegoncc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","4078","4078","16%","31%","Fall 2015","$3,637","-","171304","00229700"
"North Central Michigan College","1515 Howard St, Petoskey, Michigan 49770","www.ncmich.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","2329","2329","22%","21%","Fall 2015","$3,519","-","171395","00229900"
"Northern Michigan University","1401 Presque Isle Avenue, Marquette, Michigan 49855-5301","www.nmu.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","Town: Remote","Yes","7595","7089","47%","NA","Fall 2012","$14,243","-","171456","00230100"
"Northwestern Michigan College","1701 E Front St, Traverse City, Michigan 49686","https://www.nmc.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","Town: Remote","Yes","3727","3727","23%","25%","Fall 2012","$8,273","-","171483","00230200"
"Northwestern Technological Institute","24567 Northwestern Hwy Ste 200, Southfield, Michigan 48075","www.northwesterntech.edu","< 2-year, Private for-profit","Less than one year certificate","City: Small","No","751","751","61%","NA","2015-16","$37,034","Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician","168573","03124000"
"Northwood University","4000 Whiting Dr, Midland, Michigan 48640-2398","www.northwood.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Small","Yes","3177","2827","49%","36%","Fall 2012","$22,671","-","171492","00407200"
"Nuvo College of Cosmetology","919 w Norton Ave, Norton Shores, Michigan 49441","www.nuvocollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Midsize","No","87","87","85%","NA","2015-16","$12,222","Cosmetology/Cosmetologist, General","447980","04006300"
"Oakland Community College","2480 Opdyke Rd, Bloomfield Hills, Michigan 48304-2266","https://www.oaklandcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","15411","15411","12%","37%","Fall 2015","$2,902","-","171535","00230300"
"Oakland University","2200 North Squirrel Road, Rochester Hills, Michigan 48309-4401","www.oakland.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","19309","15799","55%","8%","Fall 2012","$12,384","-","171571","00230700"
"Olivet College","320 South Main Street, Olivet, Michigan 49076","https://www.olivetcollege.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Rural: Distant","Yes","1098","1055","48%","NA","Fall 2012","$21,979","-","171599","00230800"
"P&A Scholars Beauty School","12001 Grandriver Avenue, Detroit, Michigan 48204","www.pandascholars.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","278","278","70%","NA","2015-16","$11,072","Cosmetology/Cosmetologist, General","391005","04014300"
