"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Washtenaw Community College","4800 E Huron River Dr, Ann Arbor, Michigan 48105-4800","www.wccnet.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","No","12264","12264","17%","25%","Fall 2015","$2,038","-","172617","00232800"
"Wayne County Community College District","801 W. Fort Street, Detroit, Michigan 48226","www.wcccd.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","14957","14957","11%","24%","Fall 2015","$4,939","-","172635","00923000"
"Wayne State University","656 West Kirby Street, Detroit, Michigan 48202","www.wayne.edu","4-year, Public","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","27025","17574","47%","33%","Fall 2012","$14,366","-","172644","00232900"
"West Michigan College of Barbering and Beauty","3200 South Westnedge Ave, Kalamazoo, Michigan 49008","westmichigancollegeofbarberingandbeauty.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","43","43","60%","NA","Fall 2015","$7,273","Cosmetology/Cosmetologist, General","152044","02491000"
"West Shore Community College","3000 N Stiles Rd, Scottville, Michigan 49454-0277","www.westshore.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Distant","No","1042","1042","33%","22%","Fall 2015","$3,782","-","172671","00795000"
"Western Michigan University","1903 W Michigan Ave, Kalamazoo, Michigan 49008-5200","https://wmich.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","22562","17760","53%","30%","Fall 2012","$15,863","-","172699","00233000"
"Western Michigan University Homer Stryker M.D. School of Medicine","300 Portage Street, Kalamazoo, Michigan 49007","med.wmich.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Small","No","307","","NA","NA","Fall 2012","NA","-","490373","04262900"
"Western Michigan University-Thomas M. Cooley Law School","300 S Capitol Ave, Lansing, Michigan 48901","www.cooley.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Midsize","No","1325","","NA","NA","Fall 2012","NA","-","172477","01262700"
"Western Theological Seminary","101 E 13th St, Holland, Michigan 49423-3622","www.westernsem.edu","4-year, Private not-for-profit","Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","Yes","299","","NA","NA","Fall 2012","NA","-","172705","00233100"
"Wright Beauty Academy","492 Capital Ave SW, Battle Creek, Michigan 49015","wba.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","51","51","70%","10%","2015-16","$9,368","Cosmetology/Cosmetologist, General","172802","01229100"
"Yeshiva Gedolah of Greater Detroit","24600 Greenfield Rd, Oak Park, Michigan 48237","https://www.yeshivagedolahgreaterdetroit.com","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","65","58","16%","63%","Fall 2012","$9,090","-","247773","02363800"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2017-2018 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
